,nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
717,Krishna,F,2,1,0,1
718,Inès,F,2,0,0,2
719,Ivete,F,2,0,0,1
720,Jannat,F,2,1,1,3
721,Liyana,F,2,0,0,1
722,Ilda,F,2,3,1,5
723,Kellyne,F,2,0,1,1
724,Maryam,F,2,7,7,1
725,Ticiana,F,2,4,3,2
726,Edna,F,2,7,3,7
727,Rosana,F,2,5,1,2
728,Berenice,F,2,1,2,0
729,Simona,F,2,3,2,1
730,Filomena,F,2,6,3,6
731,Geovanna,F,2,1,2,8
732,Eline,F,2,1,0,3
733,Augusta,F,2,0,1,2
734,Allana,F,2,7,4,5
735,Mirella,F,2,0,1,4
736,Carine,F,2,2,1,0
737,Neusa,F,2,0,2,0
738,Annick,F,2,0,1,0
739,Shanzay,F,2,0,1,0
740,Charlize,F,2,2,0,1
741,Juceila,F,2,0,0,0
742,Pietra,F,2,1,3,0
743,Noémi,F,2,0,3,3
744,Megan,F,2,1,0,1
745,Anya,F,2,1,0,4
746,Vivian,F,2,4,2,2
747,Nayra,F,2,2,4,2
748,Lila,F,2,0,0,1
749,Alexis,F,2,3,0,0
750,Kripa,F,1,0,0,0
751,Lariane,F,1,0,0,0
752,Garance,F,1,0,0,0
753,Océane,F,1,0,0,1
754,Yanni,F,1,0,1,2
755,Shihan,F,1,0,0,0
756,Cattleya,F,1,0,1,1
757,Bani,F,1,0,0,1
758,Ismália,F,1,0,0,0
759,Lionela,F,1,0,0,0
760,Kenzie,F,1,0,0,2
761,Itzel,F,1,0,0,0
762,Rivka,F,1,0,0,0
763,Eshal,F,1,0,2,0
764,MaMa,F,1,0,0,0
765,Rosalinda,F,1,0,0,0
766,Helda,F,1,1,0,0
767,Seima,F,1,0,0,0
768,Ishika,F,1,2,0,0
769,Agatha,F,1,1,3,3
770,Martha,F,1,3,0,1
771,Shivani,F,1,0,0,2
772,Quintazinha,F,1,0,0,0
773,Prableen,F,1,0,0,0
774,Doralice,F,1,0,1,0
775,Toranj,F,1,0,0,0
776,Bernardina,F,1,0,0,1
777,Sarolta,F,1,0,0,0
778,Malika,F,1,0,4,0
779,Estéfica,F,1,0,0,0
780,Roslene,F,1,0,0,0
781,Thalyta,F,1,0,0,0
782,Briza,F,1,0,0,0
783,Micaella,F,1,0,0,1
784,Oumaima,F,1,0,0,0
785,Liciane,F,1,0,0,0
786,Gabrielly,F,1,0,2,5
787,Sheinizy,F,1,0,0,0
788,Neli,F,1,0,0,0
789,Estefani,F,1,0,0,0
790,Miroslava,F,1,0,1,0
791,Iarah,F,1,0,0,0
792,Mina,F,1,2,1,0
793,Fahisa,F,1,0,0,0
794,Ermelinda,F,1,0,1,1
795,Shreyana,F,1,0,0,0
796,Georgina,F,1,1,0,0
797,Camille,F,1,0,0,1
798,Si,F,1,2,0,0
799,Wysmara,F,1,0,0,0
800,Aléssia,F,1,0,0,1
801,Parini,F,1,0,0,0
802,Shaquira,F,1,0,0,0
803,Wahida,F,1,0,0,0
804,Matide,F,1,0,0,0
805,Edith,F,1,0,0,0
806,Aaditi,F,1,0,0,0
807,XinYu,F,1,0,0,0
808,Ciirasela,F,1,0,0,0
809,Luíza,F,1,0,0,0
810,Iulia,F,1,0,0,0
